0;0;0;0;land;false;unknown;0
1;218;84;245;land;false;ecumenpolis;1
2;222;213;154;land;false;plains;1
3;206;119;182;land;true;plains;1
4;250;200;242;land;true;plains;1
5;242;215;203;land;true;plains;1
6;85;202;219;land;true;plains;1
7;69;228;226;land;true;plains;1
8;239;189;245;land;true;ecumenpolis;1
9;201;236;230;land;false;plains;1
10;191;252;102;land;false;plains;1
11;218;174;229;land;true;plains;1
12;213;209;200;land;true;desert_world;1
13;209;155;205;land;true;plains;1
14;250;90;190;land;false;plains;1
15;89;249;242;land;true;plains;1
16;185;210;183;land;false;plains;1
17;98;231;206;land;true;ecumenpolis;1
18;186;249;216;land;true;plains;1
19;198;216;182;land;true;ecumenpolis;1
20;243;193;232;land;false;ecumenpolis;1
21;219;186;249;land;false;ecumenpolis;1
22;220;194;219;land;false;plains;1
23;221;67;235;land;true;desert_world;1
24;102;187;221;land;true;ecumenpolis;1
25;88;185;240;land;false;ecumenpolis;1
26;85;186;243;land;true;ecumenpolis;1
27;165;161;205;land;false;plains;1
28;199;121;199;land;true;plains;1
29;164;238;166;land;true;plains;1
30;217;113;245;land;true;plains;1
31;237;125;196;land;true;plains;1
32;202;110;231;land;true;plains;1
33;131;243;219;land;true;ecumenpolis;1
34;251;223;175;land;true;desert_world;1
35;252;170;202;land;false;ecumenpolis;1
36;117;228;234;land;true;plains;1
37;126;212;190;land;true;plains;1
38;197;137;193;land;true;plains;1
39;165;218;200;land;false;plains;1
40;137;151;240;land;false;ecumenpolis;1
41;205;87;252;land;true;ecumenpolis;1
42;207;191;137;land;false;plains;1
43;148;191;231;land;true;plains;1
44;233;210;61;land;false;ecumenpolis;1
45;232;182;119;land;true;plains;1
46;191;184;140;land;true;desert_world;1
47;112;174;254;land;true;plains;1
48;210;166;169;land;true;plains;1
49;182;221;224;land;true;ecumenpolis;1
50;102;193;215;land;true;desert_world;1
51;232;107;252;land;false;plains;1
52;71;231;218;land;false;ecumenpolis;1
53;120;225;184;land;true;plains;1
54;113;229;222;land;true;ecumenpolis;1
