1;1380.00;9.50;1936.00;big
1;1460.00;9.50;2000.00;big
2;1489.00;20.25;2177.00;big
2;1308.00;11.53;2204.00;big
3;1535.00;18.45;1856.00;big
3;1603.00;16.08;1670.00;big
4;1638.00;10.70;1562.00;big
4;1616.00;20.25;1431.00;big
5;1410.00;13.95;1535.00;big
5;1243.00;20.27;1622.00;big
6;1254.00;10.35;1492.00;big
6;1541.00;15.30;1307.00;big
7;1539.00;9.50;1189.00;big
7;1489.00;9.50;982.00;big
8;1747.00;16.15;803.00;big
8;1737.00;15.95;959.00;big
9;1509.00;20.25;447.00;big
9;1628.00;19.50;591.00;big
10;1444.00;20.00;92.00;big
10;1579.00;9.50;277.00;big
11;1793.00;17.80;462.00;big
11;1918.00;15.30;715.00;big
12;1979.00;9.78;1118.00;big
12;1993.00;12.10;878.00;big
13;1895.00;12.75;1322.00;big
13;1718.00;17.77;1492.00;big
14;1744.00;16.15;1558.00;big
14;2034.00;19.00;1535.00;big
15;1762.00;13.80;1764.00;big
15;1699.00;9.93;1878.00;big
16;1800.00;10.15;2085.00;big
16;1584.00;11.28;2067.00;big
17;2430.00;9.50;744.00;big
17;2228.00;9.50;746.00;big
18;2183.00;16.55;1167.00;big
18;2255.00;12.32;986.00;big
19;2675.00;9.50;1118.00;big
19;2476.00;9.50;926.00;big
20;2590.00;11.30;1570.00;big
20;2505.00;15.30;1320.00;big
21;2196.00;9.50;1629.00;big
21;2301.00;9.50;1796.00;big
22;2515.00;17.43;1643.00;big
22;2457.00;15.30;1759.00;big
23;2740.00;16.40;1644.00;big
23;2770.00;20.25;1443.00;big
24;2619.00;14.78;1772.00;big
24;2569.00;9.50;1880.00;big
25;2729.00;15.95;1893.00;big
25;2668.00;9.50;2092.00;big
26;2569.00;19.80;2276.00;big
26;2377.00;14.62;2228.00;big
27;2344.00;13.88;2409.00;big
27;2505.00;9.50;2467.00;big
28;2094.00;14.48;2024.00;big
28;2347.00;18.55;2019.00;big
29;2178.00;19.80;2346.00;big
29;1879.00;9.50;2331.00;big
30;2841.00;9.50;2481.00;big
30;2675.00;15.20;2754.00;big
31;2257.00;15.30;2897.00;big
31;2593.00;18.55;2927.00;big
32;2050.00;11.28;2679.00;big
32;2343.00;14.73;2684.00;big
33;1940.00;11.28;2518.00;big
33;1695.00;19.58;2406.00;big
34;1478.00;12.20;2436.00;big
34;1596.00;13.95;2452.00;big
35;1101.00;16.80;2371.00;big
35;1286.00;17.05;2536.00;big
36;1775.00;19.77;2799.00;big
36;1603.00;18.12;3176.00;big
37;329.00;20.30;2988.00;big
37;1244.00;12.93;2857.00;big
38;977.00;9.50;2544.00;big
38;657.00;10.45;2305.00;big
39;596.00;14.73;2104.00;big
39;489.00;15.30;2092.00;big
40;259.00;17.30;2152.00;big
40;413.00;20.30;2149.00;big
41;793.00;12.20;1578.00;big
41;1205.00;16.80;1951.00;big
42;1256.00;9.50;1012.00;big
42;1103.00;17.90;904.00;big
43;1430.00;18.55;708.00;big
43;1275.00;9.50;488.00;big
44;911.00;12.65;312.00;big
44;668.00;20.33;278.00;big
45;1254.00;12.93;597.00;big
45;1065.00;9.50;763.00;big
46;730.00;9.50;480.00;big
46;954.00;17.45;754.00;big
47;1412.00;9.50;933.00;big
47;1694.00;9.50;2548.00;big
